Date,Close,High,Low,Open,10 D M.A.
2020-05-04,338.050,359.000,336.000,359.000,
2020-05-05,330.850,348.000,329.550,348.000,
2020-05-06,341.400,345.550,325.250,331.500,
2020-05-07,336.750,342.900,333.700,337.000,
2020-05-08,337.700,352.500,333.700,344.000,
2020-05-11,320.150,343.550,318.200,341.000,
2020-05-12,321.200,324.400,308.000,318.300,
2020-05-13,338.050,348.400,332.300,343.500,
2020-05-14,327.400,334.500,325.650,330.000,
2020-05-15,322.700,330.550,318.800,329.300,331.425
2020-05-18,298.500,320.500,293.250,320.000,327.46999999999997
2020-05-19,300.300,311.500,297.100,307.050,324.415
2020-05-20,305.650,308.250,297.500,299.000,320.84000000000003
2020-05-21,304.400,312.800,302.000,306.000,317.605
2020-05-22,291.050,307.700,285.550,301.000,312.94000000000005
2020-05-26,292.700,297.900,290.000,296.050,310.19500000000005
2020-05-27,318.850,321.950,294.850,296.100,309.96000000000004
2020-05-28,326.850,329.750,320.750,322.250,308.84000000000003
2020-05-29,331.950,334.300,320.000,322.900,309.29499999999996
2020-06-01,339.250,348.000,336.200,339.000,310.95
2020-06-02,348.400,350.000,332.500,337.000,315.94
2020-06-03,356.850,373.000,353.800,357.900,321.59499999999997
2020-06-04,347.850,363.000,345.500,357.000,325.81499999999994
2020-06-05,357.200,360.000,347.000,350.000,331.0949999999999
2020-06-08,359.800,373.750,353.150,366.550,337.9699999999999
2020-06-09,348.550,369.350,345.250,360.050,343.55499999999995
2020-06-10,353.000,356.850,345.300,348.550,346.96999999999997
2020-06-11,341.250,354.200,340.100,352.450,348.40999999999997
2020-06-12,344.200,346.150,324.100,324.200,349.635
2020-06-15,331.100,342.250,325.500,341.200,348.82
2020-06-16,342.950,347.900,326.050,342.250,348.275
2020-06-17,341.950,351.000,336.100,338.600,346.78499999999997
2020-06-18,352.000,354.700,337.200,340.000,347.19999999999993
2020-06-19,363.800,365.450,349.200,351.000,347.86
2020-06-22,367.550,375.250,365.150,367.000,348.635
2020-06-23,376.150,378.300,364.200,369.000,351.395
2020-06-24,348.100,380.000,345.000,380.000,350.905
2020-06-25,351.000,355.600,338.500,345.900,351.88
2020-06-26,349.100,358.500,346.100,355.600,352.37
2020-06-29,343.100,345.600,338.500,345.250,353.57
2020-06-30,351.450,354.450,346.300,347.000,354.41999999999996
2020-07-01,364.050,365.750,351.600,354.250,356.63
2020-07-02,362.850,370.900,361.350,366.000,357.71500000000003
2020-07-03,361.000,367.150,359.800,364.650,357.435
2020-07-06,361.850,367.850,360.500,367.850,356.86499999999995
2020-07-07,376.050,378.000,362.100,363.000,356.85499999999996
2020-07-08,368.950,379.000,367.550,377.900,358.93999999999994
2020-07-09,370.350,376.000,365.300,373.450,360.87499999999994
2020-07-10,360.350,368.200,359.000,364.900,361.99999999999994
2020-07-13,353.600,367.000,352.500,364.100,363.04999999999995
2020-07-14,345.550,352.450,340.600,351.500,362.46
2020-07-15,345.800,356.800,343.750,349.500,360.635
2020-07-16,344.650,348.600,341.000,347.950,358.815
2020-07-17,353.800,356.000,345.450,346.000,358.095
2020-07-20,363.000,366.350,355.250,358.000,358.21000000000004
2020-07-21,378.800,379.900,370.050,371.000,358.485
2020-07-22,381.100,389.500,375.300,386.900,359.70000000000005
2020-07-23,392.250,395.650,378.850,382.550,361.89000000000004
2020-07-24,381.800,388.700,372.150,388.300,364.0350000000001
2020-07-27,358.500,385.800,356.600,385.000,364.5250000000001
2020-07-28,352.100,362.750,343.200,361.100,365.18000000000006
2020-07-29,351.050,357.650,348.200,353.200,365.70500000000004
2020-07-30,344.950,354.600,340.400,353.400,365.735
2020-07-31,346.800,353.000,342.050,346.450,365.035
2020-08-03,343.250,349.350,340.500,346.800,363.06000000000006
2020-08-04,351.000,353.200,344.200,347.000,360.28000000000003
2020-08-05,352.200,360.000,350.750,353.400,357.39
2020-08-06,358.750,363.750,348.600,353.450,354.04
