Date,Close,High,Low,Open,10 M M.A.
2009-12-31,150.973,164.973,140.909,160.000,
2010-01-31,158.573,161.273,142.909,149.109,
2010-02-28,173.182,176.509,155.636,160.927,
2010-03-31,173.082,183.582,164.100,174.000,
2010-04-30,157.873,174.173,145.882,172.018,
2010-05-31,156.673,165.455,129.455,154.845,
2010-06-30,164.527,169.455,151.491,155.355,
2010-07-31,177.764,186.182,165.636,165.818,
2010-08-31,202.355,208.727,178.245,178.245,
2010-09-30,211.455,214.000,195.273,203.100,172.64569999999998
2010-10-31,207.655,241.260,198.409,215.682,178.3139
2010-11-30,208.200,219.310,189.291,209.091,183.27659999999997
2010-12-31,185.745,210.618,180.282,209.818,184.53289999999998
2011-01-31,176.518,195.091,170.873,185.291,184.8765
2011-02-28,202.945,205.091,177.873,178.891,189.3837
2011-03-31,202.627,225.200,194.909,202.691,193.9791
2011-04-30,197.473,203.327,182.364,202.509,197.27370000000002
2011-05-31,199.027,199.909,182.436,197.055,199.4
2011-06-30,188.500,202.145,182.473,202.064,198.0145
2011-07-31,158.773,192.673,147.982,191.418,192.74630000000002
2011-08-31,159.164,168.727,151.455,162.091,187.89720000000005
2011-09-30,169.300,173.391,138.436,156.364,184.00720000000004
2011-10-31,129.536,167.909,128.164,166.900,178.38630000000003
2011-11-30,124.482,144.000,116.545,137.091,173.1827
2011-12-31,164.027,164.882,124.564,125.482,169.29090000000002
2012-01-31,164.782,181.600,159.636,165.091,165.50640000000004
2012-02-29,161.855,174.109,153.355,164.091,161.94460000000004
2012-03-31,160.427,167.055,150.409,161.418,158.08460000000002
2012-04-30,142.409,162.727,139.700,160.418,153.4755
2012-05-31,163.545,164.536,139.527,142.545,153.95270000000002
2012-06-30,174.800,176.955,160.745,163.818,155.51630000000003
2012-07-31,164.027,179.800,162.736,173.091,154.98900000000003
2012-08-31,192.509,197.618,159.391,164.582,161.28630000000004
2012-09-30,190.945,200.509,157.591,192.727,167.93260000000004
2012-10-31,199.973,200.900,184.545,191.273,171.52720000000002
2012-11-30,206.955,210.664,198.764,199.091,175.74450000000002
2012-12-31,216.573,224.000,207.836,208.436,181.21630000000002
2013-01-31,189.164,218.782,187.273,217.091,184.09000000000003
2013-02-28,190.036,209.345,181.191,191.909,188.85270000000006
2013-03-31,211.573,216.145,178.491,192.182,193.65550000000002
2013-04-30,209.900,225.164,201.682,211.573,197.16550000000004
2013-05-31,194.682,212.027,185.691,209.091,200.23100000000005
2013-06-30,165.282,197.091,162.200,193.209,197.50830000000005
2013-07-31,146.136,168.545,137.618,168.545,193.02740000000006
2013-08-31,160.664,193.518,141.191,148.018,189.09650000000005
2013-09-30,203.809,205.455,160.727,161.809,188.7819000000001
2013-10-31,194.300,207.273,181.036,203.600,186.5546000000001
2013-11-30,199.773,219.382,192.427,194.618,187.61550000000008
2013-12-31,179.582,203.273,175.182,200.164,186.57010000000008
2014-01-31,189.791,190.700,171.564,178.364,184.3919000000001
2014-02-28,226.373,232.000,185.709,188.582,186.03920000000008
2014-03-31,226.073,239.727,218.618,227.691,189.17830000000006
2014-04-30,257.827,289.673,225.091,226.073,198.43280000000007
2014-05-31,257.845,274.855,250.273,256.591,209.60370000000006
