,Company Names,Tickers
0,20 Microns Limited,20MICRONS.NS
1,21st Century Management Services Limited,21STCENMGM.NS
2,3i Infotech Limited,3IINFOTECH.NS
3,3M India Limited,3MINDIA.NS
4,3P Land Holdings Limited,3PLAND.NS
5,5Paisa Capital Limited,5PAISA.NS
6,63 moons technologies limited,63MOONS.NS
7,A2Z Infra Engineering Limited,A2ZINFRA.NS
8,Aarti Drugs Limited,AARTIDRUGS.NS
9,Aarti Industries Limited,AARTIIND.NS
10,Aarvee Denims & Exports Limited,AARVEEDEN.NS
11,Aavas Financiers Limited,AAVAS.NS
12,Aban Offshore Limited,ABAN.NS
13,ABB India Limited,ABB.NS
14,Abbott India Limited,ABBOTINDIA.NS
15,Aditya Birla Capital Limited,ABCAPITAL.NS
16,Aditya Birla Fashion and Retail Limited,ABFRL.NS
17,ABM International Limited,ABMINTLTD.NS
18,ACC Limited,ACC.NS
19,Accelya Solutions India Limited,ACCELYA.NS
20,Action Construction Equipment Limited,ACE.NS
21,Adani Enterprises Limited,ADANIENT.NS
22,Adani Gas Limited,ADANIGAS.NS
23,Adani Green Energy Limited,ADANIGREEN.NS
24,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS
25,Adani Power Limited,ADANIPOWER.NS
26,Adani Transmission Limited,ADANITRANS.NS
27,ADF Foods Limited,ADFFOODS.NS
28,Adhunik Metaliks Limited,ADHUNIK.NS
29,Adhunik Industries Limited,ADHUNIKIND.NS
30,Adlabs Entertainment Limited,ADLABS.NS
31,Ador Welding Limited,ADORWELD.NS
32,Adroit Infotech Limited,ADROITINFO.NS
33,Allied Digital Services Limited,ADSL.NS
34,Advani Hotels & Resorts (India) Limited,ADVANIHOTR.NS
35,Advanced Enzyme Technologies Limited,ADVENZYMES.NS
36,Aegis Logistics Limited,AEGISCHEM.NS
37,Affle (India) Limited,AFFLE.NS
38,Agarwal Industrial Corporation Limited,AGARIND.NS
39,AGC Networks Limited,AGCNET.NS
40,Agri-Tech (India) Limited,AGRITECH.NS
41,Agro Phos India Limited,AGROPHOS.NS
42,Asian Hotels (East) Limited,AHLEAST.NS
43,Ahluwalia Contracts (India) Limited,AHLUCONT.NS
44,Asian Hotels (West) Limited,AHLWEST.NS
45,AIA Engineering Limited,AIAENG.NS
46,Monnet Ispat & Energy Limited,AIONJSW.NS
47,Airan Limited,AIRAN.NS
48,Ajanta Pharma Limited,AJANTPHARM.NS
49,Ajmera Realty & Infra India Limited,AJMERA.NS
50,Akash Infra-Projects Limited,AKASH.NS
51,AksharChem India Limited,AKSHARCHEM.NS
52,Aksh Optifibre Limited,AKSHOPTFBR.NS
53,Akzo Nobel India Limited,AKZOINDIA.NS
54,Alankit Limited,ALANKIT.NS
55,Albert David Limited,ALBERTDAVD.NS
56,Allahabad Bank,ALBK.NS
57,Alchemist Limited,ALCHEM.NS
58,Alembic Limited,ALEMBICLTD.NS
59,Alicon Castalloy Limited,ALICON.NS
60,Alkali Metals Limited,ALKALI.NS
61,Alkem Laboratories Limited,ALKEM.NS
62,Alkyl Amines Chemicals Limited,ALKYLAMINE.NS
63,Allcargo Logistics Limited,ALLCARGO.NS
64,Allsec Technologies Limited,ALLSEC.NS
65,Almondz Global Securities Limited,ALMONDZ.NS
66,Alok Industries Limited,ALOKTEXT.NS
